,Date,P1,P2,Result,Score,Set1,Set2,Set3,Set4,Set5,Court_Type,Tournament
e84a1cc6496bd3f8fcd3e05b553ce8b8,23/01/2020,Medvedev D. (Rus),Martinez P. (Esp),1.0,3-0,7-5,6-1,6-3,,,hard,ATP - SINGLES: Australian Open (Australia)
6821dc81a3077d45f69287c4f60a59c1,21/01/2020,Medvedev D. (Rus),Tiafoe F. (Usa),1.0,3-1,6-3,4-6,6-4,6-2,,hard,ATP - SINGLES: Australian Open (Australia)
cd23e34f7af6799b33f1d0c08a87631c,09/01/2020,Schwartzman D. (Arg),Medvedev D. (Rus),-1.0,1-2,4-6,6-4,3-6,,,hard,ATP - SINGLES: ATP Cup (Australia) - Play Offs
36213864d4d9824a9ad62576fde57c3c,07/01/2020,Medvedev D. (Rus),Ruud C. (Nor),1.0,2-0,6-3,7-6,,,,hard,ATP - SINGLES: ATP Cup (Australia)
d1b024ceb4af14e3e741573dd7e989b6,05/01/2020,Medvedev D. (Rus),Isner J. (Usa),1.0,2-0,6-3,6-1,,,,hard,ATP - SINGLES: ATP Cup (Australia)
187f988ccb7963bb0d560f08617b2ca3,03/01/2020,Medvedev D. (Rus),Fognini F. (Ita),1.0,2-1,1-6,6-1,6-3,,,hard,ATP - SINGLES: ATP Cup (Australia)
7150ec67846e41704531c60ede98bb97,14/02/2021,Thiem D. (Aut),Dimitrov G. (Bul),-1.0,0-3,4-6,4-6,0-6,,,hard,ATP - SINGLES: Australian Open (Australia)
2353f1114f80b37b83fa3315d8535f7d,12/02/2021,Thiem D. (Aut),Kyrgios N. (Aus),1.0,3-2,4-6,4-6,6-3,6-4,6-4,hard,ATP - SINGLES: Australian Open (Australia)
e28a147d5c3e8947c11ccf060e9a1270,10/02/2021,Thiem D. (Aut),Koepfer D. (Ger),1.0,3-0,6-4,6-0,6-2,,,hard,ATP - SINGLES: Australian Open (Australia)
b3852414825d29059ef6f80debd97d53,08/02/2021,Thiem D. (Aut),Kukushkin M. (Kaz),1.0,3-0,7-6,6-2,6-3,,,hard,ATP - SINGLES: Australian Open (Australia)
85975f75b54fa0af2b97db82b9edcd5d,05/02/2021,Thiem D. (Aut),Paire B. (Fra),1.0,1-0,6-1,,,,,hard,ATP - SINGLES: ATP Cup (Australia)
8a59f73990d780125c0904a35c8ce882,02/02/2021,Thiem D. (Aut),Berrettini M. (Ita),-1.0,0-2,2-6,4-6,,,,hard,ATP - SINGLES: ATP Cup (Australia)
a1542da1ee9f7a9e85ff94950443d085,19/11/2020,Thiem D. (Aut),Rublev A. (Rus),-1.0,0-2,2-6,5-7,,,,hard (indoor),ATP - SINGLES: Finals - London (World)
a1385d3e3a6c36581e639397b1ce7107,15/11/2020,Thiem D. (Aut),Tsitsipas S. (Gre),1.0,2-1,7-6,4-6,6-3,,,hard (indoor),ATP - SINGLES: Finals - London (World)
37bc2492dcd15fad7699b80cb477578b,30/10/2020,Rublev A. (Rus),Thiem D. (Aut),1.0,2-0,7-6,6-2,,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
6f59054c269278e378942cbea553afc7,29/10/2020,Garin C. (Chi),Thiem D. (Aut),-1.0,0-2,3-6,2-6,,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
1c8fd26f597a52e5a5acc77d477bc76c,27/10/2020,Sachko V. (Ukr),Thiem D. (Aut),-1.0,0-2,4-6,5-7,,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
c3d3ede5b325cb9f1aad566526e13b38,06/10/2020,Schwartzman D. (Arg),Thiem D. (Aut),1.0,3-2,7-6,5-7,6-7,7-6,6-2,clay,ATP - SINGLES: French Open (France)
384c2f8348b4b3029d75adafecc87863,04/10/2020,Gaston H. (Fra),Thiem D. (Aut),-1.0,2-3,4-6,4-6,7-5,6-3,3-6,clay,ATP - SINGLES: French Open (France)
02fdeef4242a31944512a2e0142da85b,02/10/2020,Ruud C. (Nor),Thiem D. (Aut),-1.0,0-3,4-6,3-6,1-6,,,clay,ATP - SINGLES: French Open (France)
40c9b1692a16270cccd33ec8e16e578b,30/09/2020,Sock J. (Usa),Thiem D. (Aut),-1.0,0-3,1-6,3-6,6-7,,,clay,ATP - SINGLES: French Open (France)
21994dea0c6d4677c3d06b45eeb19aa3,28/09/2020,Cilic M. (Cro),Thiem D. (Aut),-1.0,0-3,4-6,3-6,3-6,,,clay,ATP - SINGLES: French Open (France)
4eb18fefe39475ff363c5787055d773b,13/09/2020,Zverev A. (Ger),Thiem D. (Aut),-1.0,2-3,6-2,6-4,4-6,3-6,6-7,hard,ATP - SINGLES: US Open (USA)
562849aec1264a16d0e8ef13c8a69332,10/09/2020,De Minaur A. (Aus),Thiem D. (Aut),-1.0,0-3,1-6,2-6,4-6,,,hard,ATP - SINGLES: US Open (USA)
ff0a8b4a205a6b0d3742278dd5ae9c0f,07/09/2020,Auger-Aliassime F. (Can),Thiem D. (Aut),-1.0,0-3,6-7,1-6,1-6,,,hard,ATP - SINGLES: US Open (USA)
965314cece4c9d5672fe53b95843f09f,06/09/2020,Cilic M. (Cro),Thiem D. (Aut),-1.0,1-3,2-6,2-6,6-3,3-6,,hard,ATP - SINGLES: US Open (USA)
15f3f054deae154384d2da158d6baef2,03/09/2020,Nagal S. (Ind),Thiem D. (Aut),-1.0,0-3,3-6,3-6,2-6,,,hard,ATP - SINGLES: US Open (USA)
7d7d9a80ca125deb07857de979479c57,01/09/2020,Munar J. (Esp),Thiem D. (Aut),-1.0,0-2,6-7,3-6,,,,hard,ATP - SINGLES: US Open (USA)
686f90d77a861520ecd82bdbcd6d0a7b,25/08/2020,Krajinovic F. (Srb),Thiem D. (Aut),1.0,2-0,6-2,6-1,,,,hard,ATP - SINGLES: Cincinnati (USA)
0a131eec071d144ed13b0b464f7af7df,19/07/2020,Thiem D. (Aut),Sinner J. (Ita),1.0,2-0,6-4,6-2,,,,hard (indoor),EXHIBITION - MEN: Bett1 Aces Berlin 2 (Germany)
09f1a3dc882029f6cefadde44629e6c2,18/07/2020,Thiem D. (Aut),Haas T. (Ger),1.0,2-0,7-6,6-3,,,,hard (indoor),EXHIBITION - MEN: Bett1 Aces Berlin 2 (Germany)
04bbf3146e6803b2f23a7fb2123d8e5b,15/07/2020,Thiem D. (Aut),Berrettini M. (Ita),1.0,2-1,6-7,6-4,10-8,,,grass,EXHIBITION - MEN: Bett1 Aces Berlin (Germany)
ae8fcce362fe6d9a342ccfd3e43ff1a1,14/07/2020,Thiem D. (Aut),Sinner J. (Ita),1.0,2-0,6-3,7-6,,,,grass,EXHIBITION - MEN: Bett1 Aces Berlin (Germany)
fd6bc4214dd4a6b3e7c3fd77dc58e6c4,11/07/2020,Thiem D. (Aut),Rublev A. (Rus),-1.0,1-2,2-6,7-5,8-10,,,clay,EXHIBITION - MEN: Thiem's Seven (Austria) - Play Offs
5ba855270ccbdb3e40a37b993f221e76,10/07/2020,Thiem D. (Aut),Bautista-Agut R. (Esp),1.0,2-1,6-7,6-2,6-2,,,clay,EXHIBITION - MEN: Thiem's Seven (Austria) - Play Offs
b9cac081948493b6e4b1d6f9ec3ece35,09/07/2020,Thiem D. (Aut),Struff J-L. (Ger),1.0,2-0,6-4,7-6,,,,clay,EXHIBITION - MEN: Thiem's Seven (Austria)
999babab96a34a5a430eec70bf3458d9,08/07/2020,Thiem D. (Aut),Rublev A. (Rus),1.0,2-0,7-5,6-4,,,,clay,EXHIBITION - MEN: Thiem's Seven (Austria)
bbd24f576ce273507ffcf89fe778ee26,07/07/2020,Thiem D. (Aut),Ruud C. (Nor),1.0,2-0,7-5,7-6,,,,clay,EXHIBITION - MEN: Thiem's Seven (Austria)
a1eb2272b8d9c97f0dc7bc07aa9d9327,28/06/2020,Berrettini M. (Ita),Thiem D. (Aut),-1.0,1-3,14-11,11-17,13-18,12-13,,hard,EXHIBITION - MEN: UTS Championship (World)
0c6ae81da92a1bed353f306b08fc88be,27/06/2020,Goffin D. (Bel),Thiem D. (Aut),-1.0,1-3,10-15,10-16,10-13,16-14,,hard,EXHIBITION - MEN: UTS Championship (World)
9d2ea6c83a7c651c01b120c31012ecda,26/06/2020,Thiem D. (Aut),Pichler D. (Aut),1.0,2-0,6-2,6-0,,,,clay,EXHIBITION - MEN: Pro Series (Austria) - Placement Play Offs
080987b0c58dcc7fe9301b7b7fb8f969,25/06/2020,Thiem D. (Aut),Novak D. (Aut),1.0,2-0,70-6,6-4,,,,clay,EXHIBITION - MEN: Pro Series (Austria)
5491d55e2e5745d9767599f89b0e8413,21/06/2020,Thiem D. (Aut),Tsitsipas S. (Gre),1.0,3-1,15-12,11-13,16-13,14-13,,hard,EXHIBITION - MEN: UTS Championship (World)
b0938623233ac505464d5b6b63d4c4f3,20/06/2020,Thiem D. (Aut),Gasquet R. (Fra),-1.0,1-3,10-16,12-15,12-16,17-14,,hard,EXHIBITION - MEN: UTS Championship (World)
02abbcbae1e006aacdb27a397a9d3074,17/06/2020,Thiem D. (Aut),Neumayer L. (Aut),1.0,2-0,6-1,6-4,,,,clay,EXHIBITION - MEN: Pro Series (Austria)
a1c617efba8214b2891c621d4a82e824,16/06/2020,Thiem D. (Aut),Erler A. (Aut),1.0,2-1,3-6,6-2,6-2,,,clay,EXHIBITION - MEN: Pro Series (Austria)
83a5374ef94cb98f4b7d006ff480cd23,14/06/2020,Thiem D. (Aut),Krajinovic F. (Srb),1.0,2-1,4-3,2-4,4-2,,,clay,EXHIBITION - MEN: Adria Tour (Serbia) (Europe) - Play Offs
15da2042905190ef5d2b066a02962099,14/06/2020,Dimitrov G. (Bul),Thiem D. (Aut),-1.0,0-2,3-4,3-4,,,,clay,EXHIBITION - MEN: Adria Tour (Serbia) (Europe)
698011ebe8149b06198a95c8b363ab9d,13/06/2020,Thiem D. (Aut),Lajovic D. (Srb),1.0,2-1,1-4,4-1,4-3,,,clay,EXHIBITION - MEN: Adria Tour (Serbia) (Europe)
70b53e5f82a27c05e7fe44fa77acfcbc,13/06/2020,Thiem D. (Aut),Dzumhur D. (Bih),-1.0,0-0,2-0,,,,,clay,EXHIBITION - MEN: Adria Tour (Serbia) (Europe)
a3c31e8ae8cdafe563f5e75b1b8e8650,08/06/2020,Thiem D. (Aut),Ofner S. (Aut),-1.0,1-2,6-7,7-6,4-6,,,clay,EXHIBITION - MEN: Pro Series (Austria)
445b0b89fae9672f548e8fd0e9429d82,07/06/2020,Thiem D. (Aut),Hampel L. (Aut),1.0,2-0,6-3,6-0,,,,clay,EXHIBITION - MEN: Pro Series (Austria)
fcd8e5d9f21bbbf488435b3aa5a6df74,05/06/2020,Thiem D. (Aut),Rodionov J. (Aut),1.0,2-1,2-6,6-3,6-1,,,clay,EXHIBITION - MEN: Pro Series (Austria)
262c9fa1efc219072a10b8b6f6834c11,02/06/2020,Thiem D. (Aut),Melzer J. (Aut),1.0,2-0,6-3,6-2,,,,clay,EXHIBITION - MEN: Pro Series (Austria) - Placement Play Offs
cdd548a0928b67f54b593786b2082ca7,30/05/2020,Thiem D. (Aut),Pichler D. (Aut),1.0,2-0,6-0,6-0,,,,clay,EXHIBITION - MEN: Pro Series (Austria)
f09bdcffd88c631b39e80042195352b8,28/05/2020,Thiem D. (Aut),Kopp S. (Aut),1.0,2-1,5-7,6-3,6-0,,,clay,EXHIBITION - MEN: Pro Series (Austria)
0c5543d9ae7773fbc28f2719e892fd49,27/05/2020,Thiem D. (Aut),Miedler L. (Aut),1.0,2-0,6-1,6-2,,,,clay,EXHIBITION - MEN: Pro Series (Austria)
da3604e90cbd690a224952e70cde0129,22/02/2020,Thiem D. (Aut),Mager G. (Ita),-1.0,0-2,6-7,5-7,,,,clay,ATP - SINGLES: Rio de Janeiro (Brazil)
ad17b307bc1615d5c4b7a9f5c526f375,21/02/2020,Thiem D. (Aut),Munar J. (Esp),1.0,2-1,6-7,6-3,6-4,,,clay,ATP - SINGLES: Rio de Janeiro (Brazil)
6debcc577cc9220fa510999665d2d19d,18/02/2020,Thiem D. (Aut),Meligeni Rodrigues Alves F. (Bra),1.0,2-1,6-2,4-6,6-1,,,clay,ATP - SINGLES: Rio de Janeiro (Brazil)
2cb15a5a950d7533684c2378fb41cd80,31/01/2020,Thiem D. (Aut),Zverev A. (Ger),1.0,3-1,3-6,6-4,7-6,7-6,,hard,ATP - SINGLES: Australian Open (Australia)
7c7138238fc505c61587d2b11e821bd1,27/01/2020,Monfils G. (Fra),Thiem D. (Aut),-1.0,0-3,2-6,4-6,4-6,,,hard,ATP - SINGLES: Australian Open (Australia)
faa34dc1361543fecea7d868ffe5edc0,25/01/2020,Fritz T. (Usa),Thiem D. (Aut),-1.0,1-3,2-6,4-6,7-6,4-6,,hard,ATP - SINGLES: Australian Open (Australia)
18b843390b7ed02e4c01bb24f6703d9b,23/01/2020,Bolt A. (Aus),Thiem D. (Aut),-1.0,2-3,2-6,7-5,7-6,1-6,2-6,hard,ATP - SINGLES: Australian Open (Australia)
c69cfed1e7e95fa6965ff344b6715494,21/01/2020,Mannarino A. (Fra),Thiem D. (Aut),-1.0,0-3,3-6,5-7,2-6,,,hard,ATP - SINGLES: Australian Open (Australia)
7ec2774a9651096fff4a935e71455c4a,08/01/2020,Thiem D. (Aut),Hurkacz H. (Pol),-1.0,1-2,6-3,4-6,6-7,,,hard,ATP - SINGLES: ATP Cup (Australia)
16f06be1be93c2b2f92fed6d6fec2b08,06/01/2020,Thiem D. (Aut),Schwartzman D. (Arg),1.0,2-0,6-3,7-6,,,,hard,ATP - SINGLES: ATP Cup (Australia)
9f148ec5b5676eace9cff4bd686094eb,04/01/2020,Thiem D. (Aut),Coric B. (Cro),-1.0,1-2,6-7,6-2,3-6,,,hard,ATP - SINGLES: ATP Cup (Australia)
c9c072933fae31b6bc979e367393421e,28/01/2020,Sandgren T. (Usa),Federer R. (Sui),-1.0,2-3,3-6,6-2,6-2,6-70,3-6,hard,ATP - SINGLES: Australian Open (Australia)
1802d3984a4ab3d69c9ae7fe62846997,26/01/2020,Fucsovics M. (Hun),Federer R. (Sui),-1.0,1-3,6-4,1-6,2-6,2-6,,hard,ATP - SINGLES: Australian Open (Australia)
5f50989004f0871cdfec34a397070d52,24/01/2020,Millman J. (Aus),Federer R. (Sui),-1.0,2-3,6-4,6-7,4-6,6-4,6-70,hard,ATP - SINGLES: Australian Open (Australia)
6a5fed879eb1102b7901290fc0823c49,22/01/2020,Krajinovic F. (Srb),Federer R. (Sui),-1.0,0-3,1-6,4-6,1-6,,,hard,ATP - SINGLES: Australian Open (Australia)
bba635fab4a49ea0a8c9c6c14d96b7ad,20/01/2020,Johnson S. (Usa),Federer R. (Sui),-1.0,0-3,3-6,2-6,2-6,,,hard,ATP - SINGLES: Australian Open (Australia)
f0d2ef33854bba49b2787bd6aabbdd92,15/02/2021,Tsitsipas S. (Gre),Berrettini M. (Ita),0,---,,,,,,hard,ATP - SINGLES: Australian Open (Australia)
386b6f9a52e712e8e0d3e9b59ee943ed,13/02/2021,Tsitsipas S. (Gre),Ymer M. (Swe),1.0,3-0,6-4,6-1,6-1,,,hard,ATP - SINGLES: Australian Open (Australia)
d40a8f7856e551808245cdb539bfa5c8,11/02/2021,Tsitsipas S. (Gre),Kokkinakis T. (Aus),1.0,3-2,6-7,6-4,6-1,6-7,6-4,hard,ATP - SINGLES: Australian Open (Australia)
00b2635fd0a838d407695afcf883ec23,09/02/2021,Tsitsipas S. (Gre),Simon G. (Fra),1.0,3-0,6-1,6-2,6-1,,,hard,ATP - SINGLES: Australian Open (Australia)
b76a58157c7be0d1dc9b8047d4d87498,05/02/2021,Bautista-Agut R. (Esp),Tsitsipas S. (Gre),-1.0,0-2,5-7,5-7,,,,hard,ATP - SINGLES: ATP Cup (Australia)
7ad3c9ac80808713f6d210c8969ae9d9,03/02/2021,Tsitsipas S. (Gre),De Minaur A. (Aus),1.0,2-0,6-3,7-5,,,,hard,ATP - SINGLES: ATP Cup (Australia)
ae012e611b2c8211cc05092c5c2cdf37,17/11/2020,Tsitsipas S. (Gre),Rublev A. (Rus),1.0,2-1,6-1,4-6,7-6,,,hard (indoor),ATP - SINGLES: Finals - London (World)
447f080bcacc92deb0a90adfb2408e15,03/11/2020,Humbert U. (Fra),Tsitsipas S. (Gre),1.0,2-1,7-6,6-7,7-6,,,hard (indoor),ATP - SINGLES: Paris (France)
235760c31490f4b48ec0a8a327694977,29/10/2020,Tsitsipas S. (Gre),Dimitrov G. (Bul),-1.0,1-2,7-6,4-6,3-6,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
e8311254432104b063b75d4242bdf792,28/10/2020,Tsitsipas S. (Gre),Struff J-L. (Ger),1.0,2-1,6-7,6-3,6-4,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
5c32cdc0322e98fbdebfa895783a87b2,07/10/2020,Rublev A. (Rus),Tsitsipas S. (Gre),-1.0,0-3,5-7,2-6,3-6,,,clay,ATP - SINGLES: French Open (France)
a21d1f419634bff241f3d12f2ed0c0e3,05/10/2020,Dimitrov G. (Bul),Tsitsipas S. (Gre),-1.0,0-3,3-6,6-71,2-6,,,clay,ATP - SINGLES: French Open (France)
636b04ffe0565d134051cf0366e10cbb,03/10/2020,Bedene A. (Slo),Tsitsipas S. (Gre),-1.0,0-2,1-6,2-6,1-3,,,clay,ATP - SINGLES: French Open (France)
fe1d7eda9491f321d60afb382ea1ffbd,01/10/2020,Cuevas P. (Uru),Tsitsipas S. (Gre),-1.0,0-3,1-6,4-6,2-6,,,clay,ATP - SINGLES: French Open (France)
2163652f62ba4245bdff659197a7cedc,29/09/2020,Munar J. (Esp),Tsitsipas S. (Gre),-1.0,2-3,6-4,6-2,1-6,4-6,4-6,clay,ATP - SINGLES: French Open (France)
ea5dccdcdc3bfc2fffc9dad1f46feede,27/09/2020,Rublev A. (Rus),Tsitsipas S. (Gre),1.0,2-1,6-4,3-6,7-5,,,clay,ATP - SINGLES: Hamburg (Germany)
d4cf41efa067a602cfd39f1788de5ec8,26/09/2020,Garin C. (Chi),Tsitsipas S. (Gre),-1.0,1-2,5-7,6-3,4-6,,,clay,ATP - SINGLES: Hamburg (Germany)
7d8efd8ebbd96859b75b1367993c6be6,25/09/2020,Lajovic D. (Srb),Tsitsipas S. (Gre),-1.0,0-2,6-7,2-6,,,,clay,ATP - SINGLES: Hamburg (Germany)
068f8e70cb0f4c92564ca40720a339fa,24/09/2020,Cuevas P. (Uru),Tsitsipas S. (Gre),-1.0,0-2,5-7,4-6,,,,clay,ATP - SINGLES: Hamburg (Germany)
c9757e81e43e3e2f42e0a4d8951da453,23/09/2020,Evans D. (Gbr),Tsitsipas S. (Gre),-1.0,0-2,3-6,1-6,,,,clay,ATP - SINGLES: Hamburg (Germany)
d0da19afe4d4f371c3e55bc7697d6c7b,16/09/2020,Sinner J. (Ita),Tsitsipas S. (Gre),1.0,2-1,6-1,6-71,6-2,,,clay,ATP - SINGLES: Rome (Italy)
b2ed9231414e41ed1e59c26d58e2e030,05/09/2020,Tsitsipas S. (Gre),Coric B. (Cro),-1.0,2-3,7-6,4-6,6-4,5-7,6-7,hard,ATP - SINGLES: US Open (USA)
204d6247e2cd1890dd5c6606d6845034,03/09/2020,Tsitsipas S. (Gre),Cressy M. (Usa),1.0,3-0,7-6,6-3,6-4,,,hard,ATP - SINGLES: US Open (USA)
3d9de052720416d7cac0cc13209eb6de,31/08/2020,Tsitsipas S. (Gre),Ramos A. (Esp),1.0,3-0,6-2,6-1,6-1,,,hard,ATP - SINGLES: US Open (USA)
6c71965d9c153d8324e30b1b5b80a87d,28/08/2020,Tsitsipas S. (Gre),Raonic M. (Can),-1.0,0-2,6-7,3-6,,,,hard,ATP - SINGLES: Cincinnati (USA)
a5f05adc324755c1843abff712061f9b,26/08/2020,Opelka R. (Usa),Tsitsipas S. (Gre),-1.0,0-0,6-5,,,,,hard,ATP - SINGLES: Cincinnati (USA)
1b0545f13c93fd637d43152ccffd77c9,25/08/2020,Isner J. (Usa),Tsitsipas S. (Gre),-1.0,0-2,6-7,6-7,,,,hard,ATP - SINGLES: Cincinnati (USA)
fbce3f6ad00e8b82d6671b09783aaaf7,23/08/2020,Anderson K. (Rsa),Tsitsipas S. (Gre),-1.0,0-2,1-6,3-6,,,,hard,ATP - SINGLES: Cincinnati (USA)
3ecff3657b6b4ac5da1419cff2d06f3a,12/07/2020,Tsitsipas S. (Gre),Berrettini M. (Ita),-1.0,2-3,15-16,12-15,14-12,15-8,2-3,hard,EXHIBITION - MEN: UTS Championship (World) - Play Offs
20a627dea2c7e4019e78396429e206b7,12/07/2020,Tsitsipas S. (Gre),Goffin D. (Bel),1.0,3-0,15-11,13-11,13-12,,,hard,EXHIBITION - MEN: UTS Championship (World) - Play Offs
46bb7310b20696544ed4cc95d6cf09a8,11/07/2020,Tsitsipas S. (Gre),Goffin D. (Bel),1.0,4-0,18-12,16-13,14-11,22-11,,hard,EXHIBITION - MEN: UTS Championship (World)
3732ffd51585293c3da7ad38213b0cd1,05/07/2020,Tsitsipas S. (Gre),Moutet C. (Fra),1.0,3-2,10-16,11-13,15-11,19-5,3-1,hard,EXHIBITION - MEN: UTS Championship (World)
9920758c839aeb9c4d7a5135b89c4825,04/07/2020,Tsitsipas S. (Gre),Berrettini M. (Ita),1.0,3-2,11-16,13-14,14-13,13-10,2-0,hard,EXHIBITION - MEN: UTS Championship (World)
0bfa8546097d92f705a50748fe520ec1,28/06/2020,Tsitsipas S. (Gre),Popyrin Al. (Aus),1.0,3-1,17-12,20-9,19-8,15-16,,hard,EXHIBITION - MEN: UTS Championship (World)
6950d6efaf3b8d1dbf3cd18b29977a31,27/06/2020,Lopez F. (Esp),Tsitsipas S. (Gre),-1.0,2-3,16-13,16-14,12-13,11-16,0-2,hard,EXHIBITION - MEN: UTS Championship (World)
34161237a7eb717df901d52aedf2965c,20/06/2020,Brown D. (Ger),Tsitsipas S. (Gre),-1.0,1-3,14-12,13-18,11-16,10-15,,hard,EXHIBITION - MEN: UTS Championship (World)
474643cc4bcb8728f30e3e23facb0127,15/06/2020,Tsitsipas S. (Gre),Gasquet R. (Fra),1.0,3-2,17-12,14-15,15-12,13-15,5-3,hard,EXHIBITION - MEN: UTS Championship (World)
305421ac685635a5e3a0173229fe2abe,14/06/2020,Tsitsipas S. (Gre),Paire B. (Fra),1.0,3-1,24-4,22-6,13-14,15-9,,hard,EXHIBITION - MEN: UTS Championship (World)
30faf7dc3173706dd777e6aac43f3b6b,07/03/2020,Patrombon J. (Phl),Tsitsipas S. (Gre),-1.0,0-2,2-6,1-6,,,,x,ATP - SINGLES: Davis Cup - World Group II (World) - Preliminary
a5017a079f0dfeed252753d90a572b26,06/03/2020,Lim A. (Phl),Tsitsipas S. (Gre),-1.0,0-2,2-6,1-6,,,,x,ATP - SINGLES: Davis Cup - World Group II (World) - Preliminary
c9dfbc077d9c42a5766cc726ffbe41bb,28/02/2020,Evans D. (Gbr),Tsitsipas S. (Gre),-1.0,0-2,2-6,3-6,,,,hard,ATP - SINGLES: Dubai (United Arab Emirates)
909e418ea4ebc41d33ca45c54e5b6ac8,27/02/2020,Struff J-L. (Ger),Tsitsipas S. (Gre),-1.0,1-2,6-4,4-6,4-6,,,hard,ATP - SINGLES: Dubai (United Arab Emirates)
62f567ebd75d5d1070967b44a23dfc2d,26/02/2020,Bublik A. (Kaz),Tsitsipas S. (Gre),-1.0,0-2,6-7,4-6,,,,hard,ATP - SINGLES: Dubai (United Arab Emirates)
c49b9abc1f116dfa17401ffab55991e6,25/02/2020,Carreno-Busta P. (Esp),Tsitsipas S. (Gre),-1.0,0-2,6-7,1-6,,,,hard,ATP - SINGLES: Dubai (United Arab Emirates)
bd9d74f4418bc271a6347a3c0b6a8d5e,23/02/2020,Auger-Aliassime F. (Can),Tsitsipas S. (Gre),-1.0,0-2,3-6,4-6,,,,hard (indoor),ATP - SINGLES: Marseille (France)
e44f7729f2f8267191626c3ef2b1292f,22/02/2020,Bublik A. (Kaz),Tsitsipas S. (Gre),-1.0,0-2,5-7,3-6,,,,hard (indoor),ATP - SINGLES: Marseille (France)
19a01c9e1a8995b9d878c8b8e21cf6cd,21/02/2020,Pospisil V. (Can),Tsitsipas S. (Gre),-1.0,0-2,5-7,3-6,,,,hard (indoor),ATP - SINGLES: Marseille (France)
51f1968cbdbd9294b65b47e1195e99f1,19/02/2020,Ymer M. (Swe),Tsitsipas S. (Gre),-1.0,0-2,1-6,3-6,,,,hard (indoor),ATP - SINGLES: Marseille (France)
5133a50d1bcf1280627f3707fca2b321,13/02/2020,Bedene A. (Slo),Tsitsipas S. (Gre),1.0,2-0,7-5,6-4,,,,hard (indoor),ATP - SINGLES: Rotterdam (Netherlands)
a4582785b0f88935df71945ea17ea2c4,11/02/2020,Hurkacz H. (Pol),Tsitsipas S. (Gre),-1.0,1-2,7-6,3-6,1-6,,,hard (indoor),ATP - SINGLES: Rotterdam (Netherlands)
eb7ab98477e1d3cc0bcea652492b4b71,24/01/2020,Tsitsipas S. (Gre),Raonic M. (Can),-1.0,0-3,5-7,4-6,6-7,,,hard,ATP - SINGLES: Australian Open (Australia)
d1f7046a34bff1cd57fa9d8e59323ed8,22/01/2020,Tsitsipas S. (Gre),Kohlschreiber P. (Ger),0,---,,,,,,hard,ATP - SINGLES: Australian Open (Australia)
b97d29f055da9f551e47f3b72f22ec1b,20/01/2020,Tsitsipas S. (Gre),Caruso S. (Ita),1.0,3-0,6-0,6-2,6-3,,,hard,ATP - SINGLES: Australian Open (Australia)
ca7ba9601ed6457d18256af76eea0d3b,16/01/2020,Tsitsipas S. (Gre),Berrettini M. (Ita),1.0,2-0,7-6,7-6,,,,hard,EXHIBITION - MEN: Kooyong (Australia)
56c0bb97bbd1aece2771b126fea19649,07/01/2020,Tsitsipas S. (Gre),Kyrgios N. (Aus),-1.0,1-2,6-7,7-6,6-7,,,hard,ATP - SINGLES: ATP Cup (Australia)
9eafa24d0a087b06fbfc344329d4afe1,05/01/2020,Zverev A. (Ger),Tsitsipas S. (Gre),-1.0,0-2,1-6,4-6,,,,hard,ATP - SINGLES: ATP Cup (Australia)
47cf9aed77f488a6bd226144dd9e315e,03/01/2020,Tsitsipas S. (Gre),Shapovalov D. (Can),-1.0,0-2,6-7,6-7,,,,hard,ATP - SINGLES: ATP Cup (Australia)
65427c948945b3e8c0cb076ad781207c,14/02/2021,Lajovic D. (Srb),Zverev A. (Ger),-1.0,0-3,4-6,6-7,3-6,,,hard,ATP - SINGLES: Australian Open (Australia)
e6908e4710a18dd3b9673bb7d81a9aa6,12/02/2021,Mannarino A. (Fra),Zverev A. (Ger),-1.0,0-3,3-6,3-6,1-6,,,hard,ATP - SINGLES: Australian Open (Australia)
213a11eebe40ff608d6627c36592ea9d,10/02/2021,Cressy M. (Usa),Zverev A. (Ger),-1.0,0-3,5-7,4-6,3-6,,,hard,ATP - SINGLES: Australian Open (Australia)
ef742dd68da3253756c057320fed6439,08/02/2021,Giron M. (Usa),Zverev A. (Ger),-1.0,1-3,70-6,6-7,3-6,2-6,,hard,ATP - SINGLES: Australian Open (Australia)
778384711c41a11f55aaa0a035534cf2,03/02/2021,Zverev A. (Ger),Shapovalov D. (Can),1.0,2-1,6-7,6-3,7-6,,,hard,ATP - SINGLES: ATP Cup (Australia)
308165142441a7f895682f495194a4bb,18/11/2020,Zverev A. (Ger),Schwartzman D. (Arg),1.0,2-1,6-3,4-6,6-3,,,hard (indoor),ATP - SINGLES: Finals - London (World)
d70bea750655d18c3798bf8b3a9f6fad,06/11/2020,Zverev A. (Ger),Wawrinka S. (Sui),1.0,2-0,6-3,7-6,,,,hard (indoor),ATP - SINGLES: Paris (France)
72e6be4bd81ad624eb857e5df0ec59ff,05/11/2020,Zverev A. (Ger),Mannarino A. (Fra),1.0,2-1,73-61,6-7,6-4,,,hard (indoor),ATP - SINGLES: Paris (France)
