,Date,P1,P2,Result,Score,Set1,Set2,Set3,Set4,Set5,Court_Type,Tournament
66d71f3e21424f54ab5bb1ad370ca658,19/07/2020,Vukic A. (Aus),Purcell M. (Aus),1.0,2-0,6-4,6-3,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
d43cabeffb180490119e22e33eb3be06,18/07/2020,Vukic A. (Aus),McCabe J. (Aus),1.0,2-0,6-4,6-4,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
685f3535031d3a5b5f33d6883b9d7102,17/07/2020,Vukic A. (Aus),Hijikata R. (Aus),1.0,2-1,5-7,6-4,10-8,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
4a78fa08e6104fdcb89cef718c6b6765,16/07/2020,Vukic A. (Aus),Green C. (Aus),1.0,2-0,6-2,6-3,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
0a144b6e6f1ad5c920a65dee20fb1662,30/06/2020,Purcell M. (Aus),Vukic A. (Aus),1.0,2-0,6-4,6-4,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
10af14333a7e5ad939e349a6dd461408,29/06/2020,Vukic A. (Aus),Nkomba B. B. (Aus),1.0,2-0,6-1,6-0,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
78c10f2f77ea132f902c2b791b916a74,28/06/2020,Vukic A. (Aus),Hijikata R. (Aus),1.0,2-0,6-3,6-4,,,,x,EXHIBITION - MEN: Others matches (World)
9f56de53c867157c3a658c63e9f4ac45,27/06/2020,Vukic A. (Aus),Reid M. (Aus),1.0,2-0,6-3,6-3,,,,x,EXHIBITION - MEN: Others matches (World)
ecbc07a660abd7113996723683414f91,07/03/2020,Escobedo E. (Usa),Vukic A. (Aus),-1.0,1-2,7-6,6-7,6-7,,,hard,CHALLENGER MEN - SINGLES: Monterrey (Mexico)
8c2046a2d9b13ecca7d9b2ac9d11caf2,06/03/2020,King K. (Usa),Vukic A. (Aus),-1.0,0-2,0-6,3-6,,,,hard,CHALLENGER MEN - SINGLES: Monterrey (Mexico)
a073f073d6fdc882f7f55c146961ae62,06/03/2020,Tomic B. (Aus),Vukic A. (Aus),-1.0,0-2,4-6,4-6,,,,hard,CHALLENGER MEN - SINGLES: Monterrey (Mexico)
a8fa6bc511c4aecbf828f7832405be6a,02/03/2020,Lenz J. (Ger),Vukic A. (Aus),-1.0,0-2,3-6,3-6,,,,hard,CHALLENGER MEN - SINGLES: Monterrey (Mexico)
0e63e64c5a610f63878c0b268607cbac,25/02/2020,Escoffier A. (Fra),Vukic A. (Aus),-1.0,0-2,3-6,6-7,,,,hard (indoor),CHALLENGER MEN - SINGLES: Columbus (USA)
298ed81d0b988cb2fd5eaac9de120e4c,10/02/2020,Watanuki Y. (Jpn),Vukic A. (Aus),1.0,2-0,6-3,7-5,,,,hard (indoor),CHALLENGER MEN - SINGLES: Cleveland (USA)
a32af309eedab8a69ac142fd6653dd81,03/02/2020,Vukic A. (Aus),Rubin N. (Usa),1.0,2-0,7-5,6-2,,,,hard (indoor),CHALLENGER MEN - SINGLES: Dallas (USA)
9c19d664f6dab802856490d9ea90a011,29/01/2020,Polansky P. (Can),Vukic A. (Aus),-1.0,1-2,7-6,6-7,4-6,,,hard,CHALLENGER MEN - SINGLES: Newport Beach (USA)
9fd391354135d00929e605a33af87223,27/01/2020,Blanch U. (Usa),Vukic A. (Aus),-1.0,0-2,2-6,5-7,,,,hard,CHALLENGER MEN - SINGLES: Newport Beach (USA)
c5369c3f520e863e7cb2abb504e7bbbd,16/01/2020,Vukic A. (Aus),Bachinger M. (Ger),1.0,2-0,6-4,6-3,,,,hard,ATP - SINGLES: Australian Open (Australia) - Qualification
b272ba57afbbe388d58b8ed724b1df44,23/02/2021,Polansky P. (Can),Marterer M. (Ger),-1.0,0-2,3-6,4-6,,,,hard,CHALLENGER MEN - SINGLES: Nur-Sultan (Kazakhstan)
29bbd1353091074198bebc1bc0b05f9f,10/01/2021,Trungelliti M. (Arg),Marterer M. (Ger),-1.0,1-2,6-4,4-6,4-6,,,hard,ATP - SINGLES: Australian Open (Australia) - Qualification
a68d1f0ba4c66861e2e0dd58a39565e8,09/11/2020,Lenz J. (Ger),Marterer M. (Ger),-1.0,0-2,5-7,4-6,,,,hard,CHALLENGER MEN - SINGLES: Bratislava (Slovakia)
740b2b2a1bfac1dee4339f814f04e843,03/09/2020,Marterer M. (Ger),Bonadio R. (Ita),-1.0,0-2,4-6,6-7,,,,clay,CHALLENGER MEN - SINGLES: Cordenons (Italy)
771933a23963797978af9112bd1c1811,28/08/2020,Bonadio R. (Ita),Marterer M. (Ger),1.0,2-1,2-6,7-5,6-4,,,clay,CHALLENGER MEN - SINGLES: Trieste (Italy)
